Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
37,7580,DeAngelo Williams,RB,3,PIT,LA,1,2,2,0,0,0,0,0,0,0,0.20
38,15631,Derrick Coleman,FB,3,SEA,CHI,0,0,0,0,0,0,0,0,0,0,0.00
39,16524,Devonta Freeman,RB,3,ATL,DAL,30,141,5,3,5,5,52,0,0,0,37.30
40,11220,Dexter McCluster,RB,3,TEN,IND,5,7,1,0,2,1,35,0,0,0,4.20
41,12708,Dion Lewis,RB,3,NE,JAX,8,37,5,1,5,5,30,0,0,0,12.70
42,14385,Doug Martin,RB,3,TB,HOU,14,46,3,0,0,0,0,0,0,0,4.60
43,16144,Dri Archer,RB,3,PIT,LA,0,0,0,0,0,0,0,0,0,0,0.00
44,16838,Duke Johnson,RB,3,CLE,OAK,4,3,1,0,7,6,32,0,0,0,3.50
45,15138,Eddie Lacy,RB,3,GB,KC,10,46,5,0,3,3,41,0,0,0,8.70
46,15616,Fozzy Whittaker,RB,3,CAR,NO,0,0,0,0,1,1,14,0,0,0,1.40
47,5820,Frank Gore,RB,3,IND,TEN,14,86,6,2,2,1,8,0,0,0,21.40
48,5701,Fred Jackson,RB,3,SEA,CHI,2,13,7,0,2,2,9,0,0,0,2.20
49,14916,Giovani Bernard,RB,3,CIN,BAL,13,49,4,0,4,3,34,0,0,0,8.30
50,16127,Isaiah Crowell,RB,3,CLE,OAK,10,36,4,0,0,0,0,0,0,0,3.60
1,16966,Aaron Ripkowski,FB,4,GB,SF,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,4,MIN,DEN,16,81,5,1,6,4,13,0,0,0,15.40
3,16189,Alfred Blue,RB,4,HOU,ATL,6,17,3,0,0,0,0,0,0,0,1.70
4,14269,Alfred Morris,RB,4,WAS,PHI,17,62,4,0,3,2,3,0,0,0,6.50
5,17234,Alonzo Harris,RB,4,GB,SF,0,0,0,0,0,0,0,0,0,0,0.00
6,16815,Ameer Abdullah,RB,4,DET,SEA,13,33,3,0,5,2,11,0,0,0,4.40
7,16402,Andre Williams,RB,4,NYG,BUF,11,35,3,0,1,0,0,0,0,0,5.50
8,12285,Anthony Dixon,RB,4,BUF,NYG,0,0,0,0,3,2,20,0,0,0,2.00
9,13418,Anthony Sherman,FB,4,KC,CIN,0,0,0,0,0,0,0,0,0,0,0.00
10,11792,Arian Foster,RB,4,HOU,ATL,8,10,1,0,5,3,25,0,1,1,1.50
11,15191,Austin Johnson,FB,4,NO,DAL,0,0,0,0,0,0,0,0,0,0,0.00
12,15207,Benjamin Cunningham,RB,4,LA,ARI,2,0,0,0,2,2,4,0,0,0,0.40
13,14687,Bernard Pierce,RB,4,JAX,IND,0,0,0,0,0,0,0,0,0,0,0.00
14,12800,Bilal Powell,RB,4,NYJ,MIA,0,0,0,0,1,1,12,0,0,0,1.20
15,13852,Bobby Rainey,RB,4,TB,CAR,0,0,0,0,0,0,0,0,0,0,0.00
16,16345,Branden Oliver,RB,4,SD,CLE,0,0,0,0,0,0,0,0,0,0,0.00
17,13446,Bruce Miller,FB,4,SF,GB,0,0,0,0,0,0,0,0,0,0,0.00
