"","avgAttempts","avgYards","avgTDs","avgPoints","lastRushAtt","lastRushYds","lastRushTD","lastTargets","lastPassYds","lastPassTD","lastFantasyPoints","performanceClass"
"224",18,115.666666666667,0.666666666666667,15.5666666666667,11,103,0,0,0,0,10.3,2
"225",5.33333333333333,25.6666666666667,0.333333333333333,4.56666666666667,1,5,0,3,17,0,2.2,0
"226",10.6666666666667,70.3333333333333,0.333333333333333,9.03333333333333,3,15,0,7,33,0,4.8,0
"227",0.666666666666667,1.66666666666667,0,0.166666666666667,1,6,0,0,0,0,0.6,0
"228",1,-1,0,-0.1,2,3,0,0,0,0,0.3,0
"229",11.3333333333333,45.6666666666667,0,4.56666666666667,11,22,0,2,18,0,4,0
"230",5.66666666666667,45.6666666666667,0.333333333333333,6.56666666666667,3,10,0,4,-8,0,0.2,0
"231",2,2.66666666666667,0,-0.4,2,-6,0,0,0,0,-2.6,0
"232",3,9.33333333333333,0,0.933333333333333,9,28,0,0,0,0,2.8,0
"233",10.6666666666667,85.6666666666667,0,8.56666666666667,4,10,0,7,66,0,7.6,1
"234",0.666666666666667,0.666666666666667,0,0.0666666666666667,0,0,0,0,0,0,0,0
"235",10.3333333333333,48,0.333333333333333,6.8,5,16,0,10,62,0,7.8,1
"236",10.3333333333333,30,0.333333333333333,5,5,27,0,2,10,0,3.7,0
"237",8.66666666666667,42.6666666666667,1,9.6,3,6,2,0,0,0,12.6,2
"238",2.66666666666667,9,0,0.9,5,20,0,0,0,0,2,0
"239",12.6666666666667,56,0.333333333333333,7.6,20,83,1,8,37,0,18,3
"240",0,0,0,0,0,0,0,0,0,0,0,0
"241",30,179.666666666667,2.33333333333333,31.9666666666667,27,153,1,8,44,0,25.7,4
"242",5.33333333333333,20,0,2,8,20,0,1,-2,0,1.8,0
"243",10,53.3333333333333,0.666666666666667,9.33333333333333,6,34,0,11,59,1,15.3,3
"244",22,115.666666666667,1.33333333333333,19.5666666666667,24,123,2,3,35,1,33.8,4
"245",0,0,0,0,0,0,0,0,0,0,0,0
"246",15.3333333333333,76,0.333333333333333,9.6,9,22,0,8,55,0,7.7,1
"247",16,71.6666666666667,0,7.16666666666667,13,27,0,1,8,0,3.5,0
"248",20.6666666666667,93,1,14.6333333333333,22,98,1,0,0,0,15.8,3
"249",5.33333333333333,36.6666666666667,0,3.66666666666667,2,5,0,3,29,0,3.4,0
"250",17.6666666666667,82,0.333333333333333,10.2,15,80,0,8,21,0,10.1,2
"251",0,0,0,0,0,0,0,0,0,0,0,0
"252",16.3333333333333,50.3333333333333,0.333333333333333,7.03333333333333,26,60,0,1,-3,0,5.7,1
"253",1.66666666666667,5.33333333333333,0,0.533333333333333,4,8,0,1,8,0,1.6,0
"254",4.33333333333333,16.6666666666667,0,1.66666666666667,0,0,0,0,0,0,0,0
"255",13.3333333333333,37.3333333333333,0,3.73333333333333,11,21,0,1,11,0,3.2,0
"256",14.6666666666667,46,0,3.93333333333333,14,48,0,4,21,0,6.9,1
"257",2,39,0.333333333333333,5.9,1,7,0,2,47,0,5.4,1
"258",6.66666666666667,13.6666666666667,0,2.03333333333333,5,6,0,0,0,0,0.6,0
"259",4.33333333333333,19.6666666666667,0,1.96666666666667,0,0,0,0,0,0,0,0
"260",0.666666666666667,4.33333333333333,0,0.433333333333333,1,0,0,1,13,0,1.3,0
"261",7,26.3333333333333,0.333333333333333,4.63333333333333,9,23,0,1,2,0,2.5,0
"262",22,88.3333333333333,0.333333333333333,10.1666666666667,18,53,0,6,59,1,17.2,3
"263",0,0,0,0,0,0,0,0,0,0,0,0
"264",2,3.66666666666667,0,0.366666666666667,4,-2,0,1,1,0,-0.1,0
"265",5.33333333333333,21,0,2.1,3,13,0,3,7,0,2,0
"266",3.66666666666667,21,0,2.1,7,23,0,4,40,0,6.3,1
"267",0,0,0,0,0,0,0,0,0,0,0,0
"268",1.66666666666667,37.3333333333333,0,3.73333333333333,0,0,0,3,89,0,8.9,1
